Rooms,Type,Price,Distance,Bathroom,Car,Region,LogPrice
1,h,1480000,1,1,1,Northern Metropolitan,14.20755265
2,h,1035000,2.5,1,0,Northern Metropolitan,13.84991198
3,h,1465000,2.5,2,0,Northern Metropolitan,14.1973658
3,h,850000,2.5,2,1,Northern Metropolitan,13.65299163
4,h,1600000,2.5,1,2,Northern Metropolitan,14.28551419
2,h,941000,2.5,1,0,Northern Metropolitan,13.75469842
3,h,1876000,2.5,2,0,Northern Metropolitan,14.44465241
2,h,1636000,2.5,1,2,Northern Metropolitan,14.3077648
1,u,300000,2.5,1,1,Northern Metropolitan,12.61153775
2,h,1097000,2.5,1,2,Northern Metropolitan,13.90808974
2,u,700000,2.5,2,1,Northern Metropolitan,13.45883561
3,h,1350000,2.5,2,2,Northern Metropolitan,14.11561515
2,u,750000,2.5,2,1,Northern Metropolitan,13.52782849
2,h,1172500,2.5,1,1,Northern Metropolitan,13.97464878
1,u,441000,2.5,1,1,Northern Metropolitan,12.99680015
2,h,1310000,2.5,1,2,Northern Metropolitan,14.0855377
3,h,1200000,2.5,2,1,Northern Metropolitan,13.99783211
3,h,1176500,2.5,1,1,Northern Metropolitan,13.97805449
3,h,955000,2.5,1,0,Northern Metropolitan,13.76946662
2,h,890000,2.5,1,1,Northern Metropolitan,13.69897674
4,h,1330000,2.5,2,2,Northern Metropolitan,14.1006895
3,t,900000,2.5,2,2,Northern Metropolitan,13.71015004
3,u,1090000,2.5,2,2,Northern Metropolitan,13.90168825
2,u,500000,2.5,1,1,Northern Metropolitan,13.12236338
2,h,1100000,2.5,2,1,Northern Metropolitan,13.91082074
2,h,1315000,2.5,1,0,Northern Metropolitan,14.08934722
1,u,426000,2.5,1,1,Northern Metropolitan,12.96219463
3,h,1447500,2.5,3,1,Northern Metropolitan,14.18534849
1,u,457000,2.5,1,1,Northern Metropolitan,13.03243867
2,h,1135000,2.5,2,2,Northern Metropolitan,13.94214321
4,h,1542000,2.5,3,1,Northern Metropolitan,14.24859083
3,h,1290000,2.5,2,2,Northern Metropolitan,14.07015278
3,h,1290000,2.5,1,1,Northern Metropolitan,14.07015278
1,u,470000,2.5,1,1,Northern Metropolitan,13.06048797
2,h,1180000,2.5,1,0,Northern Metropolitan,13.981025
3,h,1195000,2.5,2,1,Northern Metropolitan,13.99365674
2,h,1012500,2.5,1,0,Northern Metropolitan,13.82793308
2,h,1030000,2.5,1,1,Northern Metropolitan,13.84506936
3,t,840000,13.5,2,1,Western Metropolitan,13.64115717
3,h,730000,13.5,2,1,Western Metropolitan,13.50079981
3,h,770000,13.5,2,1,Western Metropolitan,13.55414579
2,h,603000,13.5,1,1,Western Metropolitan,13.30967248
3,t,700000,13.5,2,2,Western Metropolitan,13.45883561
3,h,600000,13.5,1,1,Western Metropolitan,13.30468493
2,u,500000,13.5,1,1,Western Metropolitan,13.12236338
3,h,720000,13.5,1,1,Western Metropolitan,13.48700649
4,h,785000,13.5,1,2,Western Metropolitan,13.573439
6,h,725000,13.5,3,2,Western Metropolitan,13.49392693
2,t,450000,13.5,1,1,Western Metropolitan,13.01700286
2,u,515000,13.5,1,1,Western Metropolitan,13.15192218
2,u,530000,13.5,1,1,Western Metropolitan,13.18063229
3,h,895000,13.5,1,6,Western Metropolitan,13.704579
3,h,805000,13.5,1,1,Western Metropolitan,13.59859756
3,u,752000,13.5,1,1,Western Metropolitan,13.5304916
2,u,440000,13.5,1,1,Western Metropolitan,12.99453001
5,h,755000,13.5,2,2,Western Metropolitan,13.53447303
3,t,700000,13.5,2,2,Western Metropolitan,13.45883561
3,h,830000,13.5,1,2,Western Metropolitan,13.62918098
2,u,462500,13.5,1,1,Western Metropolitan,13.04440184
3,h,670000,13.5,2,2,Western Metropolitan,13.41503299
2,h,675000,13.5,1,1,Western Metropolitan,13.42246797
3,h,1042000,13.5,2,5,Western Metropolitan,13.8566525
3,h,910000,13.5,1,1,Western Metropolitan,13.72119988
4,h,773000,13.5,3,4,Western Metropolitan,13.55803433
3,h,810000,13.5,3,2,Western Metropolitan,13.60478953
3,h,715000,13.5,2,2,Western Metropolitan,13.48003782
3,h,790000,13.5,1,3,Western Metropolitan,13.57978822
3,t,540000,13.5,2,1,Western Metropolitan,13.19932442
3,t,825000,13.5,2,1,Western Metropolitan,13.62313867
3,h,685000,13.5,1,1,Western Metropolitan,13.43717412
3,h,805000,13.5,1,1,Western Metropolitan,13.59859756
2,u,510000,13.5,1,1,Western Metropolitan,13.142166
3,h,612000,13.5,2,1,Western Metropolitan,13.32448756
3,h,662000,13.5,1,2,Western Metropolitan,13.40302083
4,h,978000,13.5,3,2,Western Metropolitan,13.79326495
3,h,720000,13.5,1,1,Western Metropolitan,13.48700649
4,h,765000,13.5,1,2,Western Metropolitan,13.54763111
4,h,900000,13.5,2,3,Western Metropolitan,13.71015004
2,h,1275000,3.3,1,0,Southern Metropolitan,14.05845674
2,h,1455000,3.3,1,0,Southern Metropolitan,14.19051646
3,h,2850000,3.3,2,0,Southern Metropolitan,14.86282955
3,h,1850000,3.3,2,0,Southern Metropolitan,14.4306962
2,h,1436000,3.3,1,0,Southern Metropolitan,14.17737203
2,h,1110000,3.3,1,0,Southern Metropolitan,13.91987057
2,h,1550000,3.3,1,1,Southern Metropolitan,14.25376549
4,h,2300000,3.3,2,1,Southern Metropolitan,14.64841968
3,t,1550000,3.3,2,2,Southern Metropolitan,14.25376549
3,h,1800000,3.3,2,1,Southern Metropolitan,14.40329722
2,h,2120000,3.3,1,1,Southern Metropolitan,14.56692665
3,h,1800000,3.3,1,1,Southern Metropolitan,14.40329722
3,h,1800000,3.3,2,1,Southern Metropolitan,14.40329722
2,h,1810000,3.3,1,0,Southern Metropolitan,14.4088374
3,h,2615000,3.3,2,1,Southern Metropolitan,14.77677466
5,h,2100000,3.3,2,1,Southern Metropolitan,14.5574479
3,h,1300000,3.3,1,0,Southern Metropolitan,14.07787482
3,h,1370000,3.3,2,2,Southern Metropolitan,14.1303213
2,h,1000000,3.3,1,0,Southern Metropolitan,13.81551056
3,h,2575000,3.3,2,1,Southern Metropolitan,14.76136009
2,h,1322500,3.3,1,0,Southern Metropolitan,14.09503444
2,h,1562500,3.3,1,0,Southern Metropolitan,14.26179766
3,h,2000000,3.3,2,1,Southern Metropolitan,14.50865774
3,h,1900000,3.3,1,0,Southern Metropolitan,14.45736444
3,h,3010000,3.3,2,0,Southern Metropolitan,14.91745064
4,h,2800000,3.3,3,1,Southern Metropolitan,14.84512998
2,u,647000,3.3,1,1,Southern Metropolitan,13.38010157
3,h,2100000,3.3,1,1,Southern Metropolitan,14.5574479
3,h,2000000,3.3,1,1,Southern Metropolitan,14.50865774
1,u,442500,3.3,1,0,Southern Metropolitan,13.00019574
4,h,4735000,3.3,2,1,Southern Metropolitan,15.37049228
2,h,1340000,3.3,1,0,Southern Metropolitan,14.10818017
3,h,1801000,3.3,1,1,Southern Metropolitan,14.40385262
3,h,1532000,3.3,3,1,Southern Metropolitan,14.24208463
3,h,3755000,3.3,2,2,Southern Metropolitan,15.13859884
4,h,2140000,3.3,2,1,Southern Metropolitan,14.57631639
2,h,1750000,3.3,1,1,Southern Metropolitan,14.37512635
2,h,980000,3.3,1,0,Southern Metropolitan,13.79530785
3,h,2030000,3.3,2,0,Southern Metropolitan,14.52354635
3,h,1740000,3.3,2,2,Southern Metropolitan,14.36939567
3,h,2800000,3.3,3,1,Southern Metropolitan,14.84512998
1,h,985000,3.3,1,0,Southern Metropolitan,13.80039692
4,h,2000000,6.4,2,4,Northern Metropolitan,14.50865774
3,h,1110000,6.4,2,2,Northern Metropolitan,13.91987057
3,h,1492000,6.4,2,2,Northern Metropolitan,14.21562806
